57,47,35,3.07,  1.34,  6.09,  0.35,  3.09,  1.23,  6.47,  0.73,  3.12,  1.18,  6.47,  0.35,150.00, 36.00,169.00,  0.00, 27.10,  0.10, 27.60, 26.70,05/10/2009 11:50:00
57,47,35,3.80,  1.13,  6.85,  1.50,  3.84,  1.18,  7.24,  1.12,  3.61,  1.34,  7.61,  0.35,107.00, 38.00,125.00,  0.00, 27.40,  0.10, 27.90, 27.30,05/10/2009 12:00:00
57,47,35,4.17,  0.95,  7.61,  1.50,  4.09,  0.91,  6.47,  1.88,  3.81,  0.87,  6.47,  1.88,122.00, 22.00,124.00,  0.00, 27.80,  0.00, 28.20, 27.60,05/10/2009 12:10:00
57,47,35,3.00,  1.40,  6.47,  0.35,  3.00,  1.47,  6.47,  0.35,  2.81,  1.34,  6.09,  0.35,139.00, 22.00,114.00,  0.00, 28.40,  0.10, 28.80, 27.90,05/10/2009 12:20:00
57,47,35,4.41,  1.23,  7.99,  1.88,  4.29,  1.29,  7.99,  1.50,  4.19,  1.13,  7.99,  1.88,168.00, 15.00,177.00,  0.00, 28.60,  0.00, 28.80, 28.20,05/10/2009 12:30:00
57,47,35,3.51,  1.08,  7.24,  1.12,  3.50,  1.04,  6.09,  1.50,  3.54,  1.04,  6.85,  1.50,149.00, 23.00,130.00,  0.00, 28.80,  0.00, 29.50, 28.80,05/10/2009 12:40:00
57,47,35,4.07,  1.40,  7.24,  0.73,  4.24,  1.34,  7.24,  1.50,  4.05,  1.47,  7.24,  0.35,138.00, 36.00,132.00,  0.00, 29.60,  0.30, 30.10, 28.80,05/10/2009 12:50:00
57,47,35,4.08,  1.18,  7.61,  1.12,  4.00,  1.34,  7.61,  1.50,  3.75,  1.40,  7.24,  0.35,109.00, 26.00,149.00,  0.00, 29.50,  0.20, 29.80, 28.80,05/10/2009 13:00:00
57,47,35,3.77,  0.77,  5.71,  1.50,  3.79,  0.83,  7.24,  1.12,  3.53,  0.95,  6.09,  1.12,121.00, 26.00,115.00,  0.00, 29.80,  0.20, 30.40, 29.20,05/10/2009 13:10:00
57,47,35,3.06,  1.40,  6.09,  0.35,  3.14,  1.34,  6.09,  0.35,  3.17,  1.18,  6.47,  0.35,128.00, 47.00,126.00,  0.00, 30.40,  0.00, 30.70, 29.80,05/10/2009 13:20:00
57,47,35,3.73,  1.53,  7.99,  0.35,  3.63,  1.60,  7.99,  0.35,  3.44,  1.53,  7.24,  0.35,116.00, 28.00, 99.00,  0.00, 30.60,  0.10, 31.00, 30.40,05/10/2009 13:30:00
57,47,35,3.86,  1.29,  7.24,  1.12,  3.81,  1.47,  7.24,  0.35,  3.66,  1.53,  7.61,  0.35, 97.00, 21.00,121.00,  0.00, 30.60,  0.00, 31.00, 30.40,05/10/2009 13:40:00
57,47,35,4.66,  1.04,  7.61,  1.12,  4.63,  1.04,  7.61,  0.73,  4.37,  0.99,  7.61,  1.88,141.00, 17.00,161.00,  0.00, 31.40,  0.10, 31.70, 30.70,05/10/2009 13:50:00
